                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6289,                 2.4499,                0.93917,                0.52012,                0.33752,                0.26799,                0.15954,                 1.3509,                  1.964,                0.88562,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.3019,                0.98633,                0.85951,                0.57605,                 0.4133,                0.36094,                0.19594,                 1.3028,                 1.3453,                0.87109,             0.00060644,             0.00060644,             0.00060644
                      3,                 1.3915,                0.91653,                0.86186,                0.71349,                0.34148,                0.44925,                0.23523,                 1.4827,                 1.3866,                0.88049,             0.00090668,             0.00090668,             0.00090668
                      4,                 1.3849,                0.92343,                0.85725,                0.76359,                0.49696,                0.61725,                 0.3334,                 1.3113,                0.95989,                0.86546,              0.0012007,              0.0012007,              0.0012007
